Categorías,DATA PARA WEB
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cuysa">Cuysa [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#gallasa">Gallasa [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guallallo">Guallallo [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guamani">Guamani [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#guamaní">Guamaní [Andrés de Vega]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guanacauri">Guanacauri [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guariguaca">Guariguaca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guasaynan">Guasaynan [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guayoay uilca">Guayoay uilca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guaypon">Guaypon [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guica">Guica [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hambato">Hambato [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hanan chaca">Hanan Chaca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hurinchaca">Hurinchaca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#ingres">ingres [Pedro Sancho]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ixitoc">Ixitoc [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#jorai">Jorai [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#lima">Lima [Andrés de Vega]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#llanganati">Llanganati [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#luhutare">Luhutare [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#mallacleui">Mallacleui [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#mataras">Mataras [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#mollotoro">Mollotoro [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#muyllucamac">Muyllucamac [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#namuday">Namuday [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#oyñacaca">Oyñacaca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#pacaritambo">Pacaritambo [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#pariacaca">Pariacaca [Andrés de Vega]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#pilco puquio">Pilco puquio [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#pongo">Pongo [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#puna">Puna [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#putina">Putina [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#quichuas">Quichuas [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#quixurarvilca">Quixurarvilca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#reuisse">Reuisse [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#runcari">Runcari [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#salcatay">Salcatay [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sañoc ancauilca">Sañoc ancauilca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sasaylla apo">Sasaylla apo [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sausiray">Sausiray [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#saysapa">Saysapa [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sico cayan">Sico cayan [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sulcauilca">Sulcauilca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#sulimana">Sulimana [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#suparaura">Suparaura [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#tambo toco">Tambo Toco [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#timpay">Timpay [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#tucapuc">Tucapuc [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#tuguraua">Tuguraua [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uicoala">Uicoala [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uirco">Uirco [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uisiguiumai">Uisiguiumai [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uiticos">Uiticos [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#urpai guachac">Urpai guachac [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#utaran">Utaran [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#uullotoa">Uullotoa [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#yamoc">Yamoc [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#yañoc">Yañoc [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#yarouilca">Yarouilca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#yllinca">Yllinca [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#almacenes">almacenes [Pedro Sancho]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#andesuyo">Andesuyo [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ayllo/ayllos">ayllo/ayllos [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cacicazgos">cacicazgos [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#cacique/caciques">cacique/caciques [Cristóbal de Mena]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#cacique/caciques">cacique/caciques [Pedro Sancho]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#cacique/caciques">cacique/caciques [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#camayo/camayos">camayo/camayos [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#camino real">camino real [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#camino real / caminos reales">camino real / caminos reales [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#caminos">Caminos [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#campichez guaranga">Campichez guaranga [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#capitán">capitán [Cristóbal de Mena]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#capitán">Capitán [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#capitan/capitanes">capitan/capitanes [Pedro Sancho]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#capitán/capitanes de atahualpa">capitán/capitanes de Atahualpa [Cristóbal de Mena]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#capitanes">capitanes [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#casa">casa [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cauansibe">Cauansibe [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cauansibi">Cauansibi [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#caxas">Caxas [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chile">Chile [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chinchaysuyo">Chinchaysuyo [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#collasuyo">Collasuyo [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#condesuyo">Condesuyo [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#curacas">curacas [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#curacas">curacas [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#cuzco">Cuzco [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cuzco">Cuzco [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#guacamayos [sic: guaca camayos]">guacamayos [sic: guaca camayos] [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hanan">Hanan [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hanan guanca">Hanan Guanca [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hanan guancas ">Hanan Guancas  [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hanansaya">Hanansaya [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hátun xauxa">Hátun Xauxa [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#haziendas ">haziendas  [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hurin">hurin [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hurin guanca">Hurin Guanca [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#hurin guancas / huringuancas">Hurin Guancas / Huringuancas [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#hurinsaya">hurinsaya [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#inca/inga/incas">Inca/Inga/Incas [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ingas/ynga/yngas">ingas/ynga/yngas [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#memoria">memoria [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#mitimas">mitimas [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#moyas">moyas [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#principales">principales [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#principales">principales [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#provincia">provincia [Cristóbal de Mena]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#provincia">Provincia [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#provincia/provincias">provincia/provincias [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#reino/reinos">reino/reinos [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#reino/reinos">reino/reinos [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#repartimiento/repartimientos">repartimiento/repartimientos [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#señor/señores">señor/señores [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#señor/señores">señor/señores [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#señor/señores/señorear">señor/señores/señorear [Cristóbal de Mena]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#tacuri">Tacuri [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#tambo">Tambo [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#tambo">tambo [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#tocricoc">tocricoc [Cristóbal de Albornoz]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#viejos">viejos [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#yaloparin">Yaloparin [Andrés de Vega]</a></p>
Administración,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#yanaconas">yanaconas [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#aguacates">aguacates [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#ají">ají [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#chácaras">chácaras [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chácaras">chácaras [Cristóbal de Albornoz]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#chochos">chochos [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#coca">Coca [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#guabas">guabas [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#guayabas">guayabas [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#maiz">Maiz [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#mani">mani [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#maxuas">maxuas [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#ocas">Ocas [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#papa">papa [Cristóbal de Albornoz]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#papas">Papas [Andrés de Vega]</a></p>
Agricultura,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#papas ">papas  [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#añana">Añana [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#apocusichac">Apocusichac [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#atabalipa">Atabalipa [Pedro Sancho]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#atagualpa">Atagualpa [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#atahualpa">Atahualpa [Cristóbal de Mena]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#atitoc">Atitoc [Pedro Sancho]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#auquiszapari">Auquiszapari [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#cacamache">Cacamache [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#calichuchima/chilichuchima">Calichuchima/Chilichuchima [Pedro Sancho]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#cancac guacra [sic: cancaguala] / cangaguala">Cancac Guacra [sic: Cancaguala] / Cangaguala [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#canchac huyca">Canchac Huyca [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#capac yupanqui">Capac Yupanqui [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#chalcochima">Chalcochima [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#chalcuchima">Chalcuchima [Cristóbal de Mena]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#chavin ">Chavin  [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#chuqui llanqui">Chuqui Llanqui [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#cuzco'">Cuzco' [Cristóbal de Mena]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista20/#cuzco viejo">Cuzco viejo [Cristóbal de Mena]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#guacra manco">Guacra Manco [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#guacra páucar">Guacra Páucar [Andrés de Vega]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#guainacaba/guaynacaba/guarnacaba/gucunaba">Guainacaba/Guaynacaba/Guarnacaba/Gucunaba [Pedro Sancho]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#guaritico">Guaritico [Pedro Sancho]</a></p>
Antropónimo,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#guayna ">Guayna  [Andrés de Vega]</a></p>
